strain,ens_gene,log_bleach,log_settle
CB4856,WBGene00020265,5.9769557095506,5.97500192924248
CB4856,WBGene00020266,2.9617581820745,3.40886000311859
CB4856,WBGene00020267,5.16928559215379,5.26768379967346
CB4856,WBGene00020268,12.3512232209631,12.3023315286535
CB4856,WBGene00020269,12.4266390357702,12.7396615011466
CB4856,WBGene00020270,5.42615207110004,6.17802855776599
CB4856,WBGene00020273,10.3307596670061,10.2483036626403
CB4856,WBGene00020274,11.0558924680669,10.8348059374204
CB4856,WBGene00020275,12.9589396743775,13.0596836821186
CB4856,WBGene00020276,8.47180429912334,8.29164218325433
CB4856,WBGene00020277,2.40996066602307,4.16974885340345
CB4856,WBGene00020279,6.7617630085628,6.74953715748428
CB4856,WBGene00020280,7.79646687387487,7.86229977862294
CB4856,WBGene00020281,5.26887040160974,5.93050593091056
CB4856,WBGene00020282,6.09319059263741,5.61938126474927
CB4856,WBGene00020283,7.29930102788026,7.61888900949478
CB4856,WBGene00020284,11.192289504747,11.2590323092317
CB4856,WBGene00020285,4.08108674177728,3.63847754539518
CB4856,WBGene00020286,10.2731114877304,10.4869709772448
CB4856,WBGene00020287,11.2823538460161,11.6343719568377
CB4856,WBGene00020289,7.09873563210544,6.46036606936561
CB4856,WBGene00020290,10.2321330851401,10.6166509210337
CB4856,WBGene00020293,6.03618305188033,5.23272427970203
CB4856,WBGene00020294,8.04313813073581,7.72669533784204
CB4856,WBGene00020296,10.6308681110454,10.8534686461921
CB4856,WBGene00020297,13.0154873029283,12.4185810888809
CB4856,WBGene00020298,10.6394457523768,10.739032739235
CB4856,WBGene00020299,7.22244271175169,6.89446464824523
CB4856,WBGene00020300,9.49728885552705,9.70936198595997
CB4856,WBGene00020301,10.1548472738431,9.90793109488717
CB4856,WBGene00020302,2.84578069957682,1.55937873535711
CB4856,WBGene00020311,9.3193561408288,9.62364335617591
CB4856,WBGene00020313,5.16400260265925,5.40142395810441
CB4856,WBGene00020314,10.7602282795594,10.6374600042187
CB4856,WBGene00020315,10.3038033136635,10.4048586579995
CB4856,WBGene00020316,10.0472515802941,10.353048789152
CB4856,WBGene00020317,10.1451196391269,10.2882075634297
CB4856,WBGene00020318,4.28203804168157,3.66550524092797
CB4856,WBGene00020319,4.21226223834243,4.41222345440917
CB4856,WBGene00020320,10.0378665596806,9.8166300214513
CB4856,WBGene00020321,8.19858548314034,7.75775047930011
CB4856,WBGene00020322,8.7659916335355,8.84689972009349
CB4856,WBGene00020323,4.8634259640659,4.92210136387702
CB4856,WBGene00020324,7.5691485917354,7.87214942745027
CB4856,WBGene00020325,5.39192376381204,5.33571918074618
CB4856,WBGene00020326,11.1421300482463,9.94935461295878
CB4856,WBGene00020327,0.688118019518606,1.06324108502284
CB4856,WBGene00020329,8.96845045461932,8.35060558184876
CB4856,WBGene00020330,6.6382252268876,6.96787456713804
CB4856,WBGene00020334,10.509033704099,10.2954211966694
CB4856,WBGene00020335,6.41791306230906,6.77645677493499
CB4856,WBGene00020339,9.54752341694157,9.5380820786444
CB4856,WBGene00020340,10.6640452718549,10.764299974295
CB4856,WBGene00020341,7.03074868590933,6.80703934612479
CB4856,WBGene00020342,4.47178288126778,1.84276423960633
CB4856,WBGene00020343,7.84219974372845,8.12503073137399
CB4856,WBGene00020345,6.70559968646105,6.44356311668274
CB4856,WBGene00020346,11.5909925731241,11.5385411182318
CB4856,WBGene00020347,13.391112594944,13.4698306438863
CB4856,WBGene00020348,11.0568720372119,11.4232185306927
CB4856,WBGene00020349,8.66182907038325,8.11238599722097
CB4856,WBGene00020350,9.82030230787414,9.75832161447302
CB4856,WBGene00020353,9.89525629308211,9.25165298872187
CB4856,WBGene00020354,4.23856465059206,5.46819915359542
CB4856,WBGene00020356,8.13188585808972,7.54942276082628
CB4856,WBGene00020357,6.06924855603571,5.04634716294951
CB4856,WBGene00020358,3.56268863067381,3.14435754310578
CB4856,WBGene00020359,3.86613294539847,3.69367477657846
CB4856,WBGene00020360,5.05502555827288,4.60170101414347
CB4856,WBGene00020361,1.6734338908024,2.10040500848726
CB4856,WBGene00020362,4.67657837698112,4.61991149069303
CB4856,WBGene00020363,4.13520695251619,3.75953152488154
CB4856,WBGene00020365,6.18027419840503,6.01137393183022
CB4856,WBGene00020366,11.9343448836725,12.1042960385809
CB4856,WBGene00020368,6.70709808182729,7.01970613938907
CB4856,WBGene00020369,12.667909393574,12.3304220934697
CB4856,WBGene00020370,6.63531259594721,6.66385241204638
CB4856,WBGene00020372,6.89010859410319,6.50863402730588
CB4856,WBGene00020373,6.45229765202318,5.74969723340119
CB4856,WBGene00020374,10.6702944197519,10.8132409397093
CB4856,WBGene00020375,12.4669826659769,12.413993887944
CB4856,WBGene00020376,10.1028898329728,10.2627589790869
CB4856,WBGene00020377,5.9785506527198,5.78013226911724
CB4856,WBGene00020378,7.06605667309258,6.9512349413446
CB4856,WBGene00020379,10.1981020407684,10.5463524018302
CB4856,WBGene00020380,5.5326994464813,5.28940615616564
CB4856,WBGene00020382,9.49982717812329,9.83908370731689
CB4856,WBGene00020383,10.8211665589588,11.0381757045379
CB4856,WBGene00020385,2.87717250501892,2.55845576457471
CB4856,WBGene00020386,7.50090384480493,7.12501281117743
CB4856,WBGene00020389,11.3381222671145,11.640617354077
CB4856,WBGene00020390,5.54702703816893,6.69909894620985
CB4856,WBGene00020391,12.76248327156,12.9255443276482
CB4856,WBGene00020392,10.9926564993058,11.4125706354353
CB4856,WBGene00020393,10.9152320347216,9.92517722032888
CB4856,WBGene00020394,6.34856313076933,7.7972143504701
CB4856,WBGene00020396,6.47663840323103,6.13781564670451
CB4856,WBGene00020397,8.99618814206953,9.11544718559668
CB4856,WBGene00020398,11.1609440115794,11.133159518757
CB4856,WBGene00020399,10.47490951247,10.7017725973865
CB4856,WBGene00020400,4.11973919883105,3.50885007675712
CB4856,WBGene00020401,7.38919733995465,6.93421024843179
CB4856,WBGene00020402,10.0573639432825,10.1837358250096
CB4856,WBGene00020403,10.4660592510516,10.5340774297131
CB4856,WBGene00020404,9.46819613044429,9.39002817167087
CB4856,WBGene00020407,7.54075417903591,7.27330875315442
CB4856,WBGene00020408,9.21309657566602,9.06794143849118
CB4856,WBGene00020411,9.91110261384535,10.2316158972125
CB4856,WBGene00020412,10.7620362036075,10.9460457017384
CB4856,WBGene00020413,8.27100281464904,8.9472422525231
CB4856,WBGene00020414,10.8625127565119,10.123269546878
CB4856,WBGene00020416,5.15354253188781,4.9238582221898
CB4856,WBGene00020417,12.0131262549296,11.9875302848946
CB4856,WBGene00020418,4.96796685269739,5.38011541187308
CB4856,WBGene00020419,8.13995906863425,7.84373768563741
CB4856,WBGene00020421,5.55396163580705,6.24817024873775
CB4856,WBGene00020422,10.6843492702329,10.868511546355
CB4856,WBGene00020423,12.7353718243262,12.5849839504957
CB4856,WBGene00020424,6.10689653770443,5.29427933447357
CB4856,WBGene00020425,10.9899876807832,10.9606222852389
CB4856,WBGene00020426,9.09438703622148,8.276392176853
CB4856,WBGene00020427,8.50817643254527,8.40681011901519
CB4856,WBGene00020433,8.59751650139403,8.73137601127107
CB4856,WBGene00020435,6.69673158480366,5.93164396259074
CB4856,WBGene00020436,7.91827049122754,7.71313806770174
CB4856,WBGene00020437,13.1885196857562,12.9635492916833
CB4856,WBGene00020438,4.36830714155077,4.53891649027423
CB4856,WBGene00020441,10.5375273041396,10.8418001495851
CB4856,WBGene00020442,11.2612498824306,11.2376758675223
CB4856,WBGene00020443,9.45564758479135,9.38299195463321
CB4856,WBGene00020444,3.1671622218027,3.09151241862324
CB4856,WBGene00020445,8.07826200867019,8.14922637833789
CB4856,WBGene00020446,11.9733337765743,11.410465976172
CB4856,WBGene00020447,9.91702378730734,9.87966647710161
CB4856,WBGene00020448,5.9337702986988,5.73218261352818
CB4856,WBGene00020449,9.12857403739732,8.71250632239015
CB4856,WBGene00020453,6.11767928567304,5.70365335564518
CB4856,WBGene00020455,7.50747206609391,6.86831521918213
CB4856,WBGene00020456,6.89583675979359,6.4198696756775
CB4856,WBGene00020457,3.356473564361,3.13147483348506
CB4856,WBGene00020460,5.96098265408673,5.31589849258868
CB4856,WBGene00020461,9.90326787548236,9.98894436299536
CB4856,WBGene00020462,10.7105957844961,10.6764141266278
CB4856,WBGene00020463,10.6799472207126,10.5877864650497
CB4856,WBGene00020464,9.83583839724487,9.52600424961096
CB4856,WBGene00020465,2.77421477197413,2.82501304886889
CB4856,WBGene00020466,10.1071845181832,10.3250191565799
CB4856,WBGene00020467,9.240119302335,9.35259516092929
CB4856,WBGene00020468,5.28893394331804,4.55000115301997
CB4856,WBGene00020469,4.51397943996328,3.98302612030027
CB4856,WBGene00020471,10.7609101932142,10.6611098544987
CB4856,WBGene00020473,1.95648073274119,3.73392464066012
CB4856,WBGene00020475,10.0268108221851,10.4655319503629
CB4856,WBGene00020476,6.97888861010186,7.00258760056046
