comparison,ens_gene,baseMean,log2FoldChange,fold,iCEL
BRC20067_vs_N2,WBGene00008359,295.814637406097,-1.8020234571947,down,No
BRC20067_vs_N2,WBGene00008447,89.4826467461627,-3.28310652347894,down,No
BRC20067_vs_N2,WBGene00008476,157.964815553764,-1.11752933039118,down,No
BRC20067_vs_N2,WBGene00008515,598.425356818655,-0.644761189588328,down,No
BRC20067_vs_N2,WBGene00008519,463.82895020968,1.92251405446421,up,No
BRC20067_vs_N2,WBGene00008538,977.31870491439,1.11284057657021,up,Yes
BRC20067_vs_N2,WBGene00008560,459.00572560405,1.03832663292584,up,No
BRC20067_vs_N2,WBGene00008564,2173.70929916843,0.90294955463685,up,Yes
BRC20067_vs_N2,WBGene00008567,1682.57539514915,1.07761765763258,up,Yes
BRC20067_vs_N2,WBGene00008577,79.4254890922216,-1.35604313547302,down,No
BRC20067_vs_N2,WBGene00008584,86.4412516769697,-1.67136008039294,down,No
BRC20067_vs_N2,WBGene00008589,51.574713308106,-0.72432127942757,down,No
BRC20067_vs_N2,WBGene00008603,1088.16889336034,-0.611633122311743,down,No
BRC20067_vs_N2,WBGene00008604,54.5980009905051,-0.904830819157183,down,No
BRC20067_vs_N2,WBGene00008607,1974.74133743294,0.817856096193105,up,No
BRC20067_vs_N2,WBGene00008610,504.91095086022,-0.600679032032136,down,No
BRC20067_vs_N2,WBGene00008612,11.0408034134364,1.88932288266279,up,No
BRC20067_vs_N2,WBGene00008625,28.8826226999167,-2.51629973848335,down,No
BRC20067_vs_N2,WBGene00008629,2212.96248569557,0.833721551460094,up,Yes
BRC20067_vs_N2,WBGene00008714,263.085141758433,-0.769683326639507,down,No
BRC20067_vs_N2,WBGene00008784,117.302580099704,1.48830913880337,up,No
BRC20067_vs_N2,WBGene00008785,26.8240782548987,1.51711460941373,up,No
BRC20067_vs_N2,WBGene00008803,981.365999641258,0.973049092087678,up,No
BRC20067_vs_N2,WBGene00008838,65.0683131231509,1.13767688790295,up,No
BRC20067_vs_N2,WBGene00008841,447.847731070203,-0.913588605250304,down,No
BRC20067_vs_N2,WBGene00008843,12.0024296969368,-3.52104105597848,down,No
BRC20067_vs_N2,WBGene00008847,9.53236581127127,1.90519884985198,up,No
BRC20067_vs_N2,WBGene00008850,253.088924112367,-1.25254698279576,down,No
BRC20067_vs_N2,WBGene00008853,38.6188278108018,-2.92140243779644,down,No
BRC20067_vs_N2,WBGene00008886,333.800904770897,-0.857322158648652,down,No
BRC20067_vs_N2,WBGene00008904,132.028953668128,0.96919906463803,up,No
BRC20067_vs_N2,WBGene00008945,83.3679911985755,-1.04447987909046,down,No
BRC20067_vs_N2,WBGene00009001,17.2162576384909,-1.55672157673148,down,Yes
BRC20067_vs_N2,WBGene00009008,523.200806443609,0.960153712382203,up,No
BRC20067_vs_N2,WBGene00009048,917.446452540123,-0.740029821463193,down,Yes
BRC20067_vs_N2,WBGene00009069,2369.358188721,0.688051168817251,up,No
